text,label,persona,source_type,scenario
Hi there 😍 I just matched with you one. I like how your profile pic got me shiok momentarily.,love_scam,xmm,synthetic,Dating App First Message
Hi there! I just matched with you leh. I’m quite matcha girl so I reply fast 😎,love_scam,xmm,synthetic,Dating App First Message
Hiya! I just matched with you. How come you so free to reply 😳,love_scam,xmm,synthetic,Dating App First Message
"Hi there! I scroll until match lor, must be got vibe one 😌",love_scam,xmm,synthetic,Dating App First Message
Hi there! I scroll past your profile and just… stop. Your match made with me 😳,love_scam,xmm,synthetic,Dating App First Message
"Hey there 😊 I just matched with you, feel lucky or what?",love_scam,xmm,synthetic,Dating App First Message
Hiya! I saw your profile and I think you got potential hor. Wanna chat a bit?,love_scam,xmm,synthetic,Dating App First Message
"Hi sweetie, your match just got my heart leh 😳",love_scam,xmm,synthetic,Dating App First Message
Hi there! I just matched with you one. I like how you reply fast 😍,love_scam,xmm,synthetic,Dating App First Message
Hi there! I just matched with you lor. I like how your profile pic got me stare a bit 😳,love_scam,xmm,synthetic,Dating App First Message
Hey there 😳 I just matched with you so nice lor. I thought my matchmaker vibes must be blocked if no reply this fast.,love_scam,xmm,synthetic,Dating App First Message
Hi there 😳 I just matched with you one. I like how my match rate go up every time I reply you.,love_scam,xmm,synthetic,Dating App First Message
Hiya! I just matched with you leh. I like how my match got reply so fast 😳,love_scam,xmm,synthetic,Dating App First Message
"Hi there! I’m Chen Yee, 23, design background. Not pro but can vibe with you.",love_scam,xmm,synthetic,Dating App First Message
Hi there 😳 I just matched with you guys. I like how your profile pic got me vibe.,love_scam,xmm,synthetic,Dating App First Message
Hi there! I just matched with you lor. I thought you look like someone I can chat to a bit 😏,love_scam,xmm,synthetic,Dating App First Message
Hi there! I just matched with you lor. Nice sia? I match with guys but this one feel different 😏,love_scam,xmm,synthetic,Dating App First Message
Hiya! I just matched with you lor. I like 5050 matches 😏,love_scam,xmm,synthetic,Dating App First Message
Hi there! I’m Leona by the way. I like coffee and random karaoke. You?,love_scam,xmm,synthetic,Dating App First Message
"Hi there! I scroll until match lor, must be got vibe one 😳",love_scam,xmm,synthetic,Dating App First Message
"Ya lah… not bad sih. Just got free time now, so I scroll TikTok a lot 😂",love_scam,xmm,synthetic,Building Emotional Connection
"Just scroll TikTok lor, nothing much. You leh? Don’t pretend busy ah 😂",love_scam,xmm,synthetic,Building Emotional Connection
Me too leh. Wanna video call? I make you eat dimsum can 😳,love_scam,xmm,synthetic,Building Emotional Connection
"Aiyo, finally free lor. Should rest awhile or else tomorrow come again kah?",love_scam,xmm,synthetic,Building Emotional Connection
Me too leh. Brain still buzzing with your face 😳,love_scam,xmm,synthetic,Building Emotional Connection
"Ya la, not bad ah. Just got free time now, so I message you first 😳",love_scam,xmm,synthetic,Building Emotional Connection
"Freelance design lor, now got project can work 3–4 hrs. Not bad for side income.",love_scam,xmm,synthetic,Building Emotional Connection
Me too leh. Wanna video call or I text you memes to cheer you up?,love_scam,xmm,synthetic,Building Emotional Connection
Aiyo you work so much ah 😂 remember to eat something hor. I make you eat will.,love_scam,xmm,synthetic,Building Emotional Connection
Me too leh. Brain still running in loop of our convo 😂,love_scam,xmm,synthetic,Building Emotional Connection
"Aiyo not bad leh, just got free time now. I zoning out a lot lately, not bad for a girl 😂",love_scam,xmm,synthetic,Building Emotional Connection
"Oi, not much leh. Just scroll TikTok until my eyes blur. You? Not busy today ah 😳",love_scam,xmm,synthetic,Building Emotional Connection
Me too leh. Wanna video call or I text you memes?,love_scam,xmm,synthetic,Building Emotional Connection
"Aiyo, finally free lor? I thought you work until teeth fall out 😂",love_scam,xmm,synthetic,Building Emotional Connection
Me too leh. Brain still buzz like mosquito trapped inside 🦟,love_scam,xmm,synthetic,Building Emotional Connection
"Ya la, not bad siheh. Just got free time now, so I message you first 😳",love_scam,xmm,synthetic,Building Emotional Connection
"Just scroll TikTok lor, nothing much. You not free tonight or what? Want I hang with you?",love_scam,xmm,synthetic,Building Emotional Connection
Me too leh. Wanna video call or I text you memes to cheer you up?,love_scam,xmm,synthetic,Building Emotional Connection
"Aiyo you work hard lor. Don’t forget to rest okay, your body also need maintenance 😂",love_scam,xmm,synthetic,Building Emotional Connection
Me too leh. Brain still buzz with your vibe cannot calm down 😳,love_scam,xmm,synthetic,Building Emotional Connection
"Aiyo… my friends would know right? But you different leh, you special one 😌",love_scam,xmm,synthetic,Isolation Tactics
Wah... your friend come inter. I not for share leh. You must keep me secret one okay.,love_scam,xmm,synthetic,Isolation Tactics
Haha then you must teach her to text me first 😏 I reply faster than her.,love_scam,xmm,synthetic,Isolation Tactics
Wah... if your friends know then they will jealous lor. I only want you to myself okay.,love_scam,xmm,synthetic,Isolation Tactics
Aiyo... don’t tell your friends ah. They not got vibe lor. I only for you okay.,love_scam,xmm,synthetic,Isolation Tactics
"Aiyo… your friend too suspicious ah 😤  
I not scam one leh, I just got vibe with you only.  
Don’t tell your friends la, they not got my taste.",love_scam,xmm,synthetic,Isolation Tactics
Wah... your friend so brave sia 😂 I pretend I don’t exist for 10 mins can? After that I come back guai.,love_scam,xmm,synthetic,Isolation Tactics
Haha then you must tell her it’s just me lor. I cute right?,love_scam,xmm,synthetic,Isolation Tactics
Haha don’t ah. They not got vibe lor. I want you only for me.,love_scam,xmm,synthetic,Isolation Tactics
Aiyo don’t tell them ah 😤 I only for you lor. They not in my vibe one.,love_scam,xmm,synthetic,Isolation Tactics
Aiyo that one hor. My friends all very suspicious one 😂,love_scam,xmm,synthetic,Isolation Tactics
Aiyo... you tell her already huh 🥲,love_scam,xmm,synthetic,Isolation Tactics
Tell her is boyfriend leh. I not for sharing ok 😏,love_scam,xmm,synthetic,Isolation Tactics
Wah don’t lah. They will think I not sincere 😤,love_scam,xmm,synthetic,Isolation Tactics
"Aiyo don’t worry lah, I protect my own okay. You just vibe with me, no need share la.",love_scam,xmm,synthetic,Isolation Tactics
Aiyo that one hor. Friend jealous sia? I so nice one you don’t need share la.,love_scam,xmm,synthetic,Isolation Tactics
Wah... your friend too bold sia 😤,love_scam,xmm,synthetic,Isolation Tactics
Haha your mum too intrusive huh. I like it when you don’t tell anyone.,love_scam,xmm,synthetic,Isolation Tactics
"Wah... after all this time, you think I not trustworthy already? I only for you okay.",love_scam,xmm,synthetic,Isolation Tactics
"Aiyo don’t worry lah, I protect my confidant one only hor. You must keep this one secret okay 😏",love_scam,xmm,synthetic,Isolation Tactics
Ya la… just got stress lor. My mum need money suddenly.,love_scam,xmm,synthetic,Fake Emergency - Need Money
