text,label,persona,source_type,scenario
"Ya la, I got craving now. You not bring then I cry at your doorstep 😂",not_scam,xmm,synthetic,Food and Makan
"Ya la, stomach whispering my name already. I scream ‘food’ in my head can lor.",not_scam,xmm,synthetic,Food and Makan
Can la! I not free every week ah 😤,not_scam,xmm,synthetic,Food and Makan
Haha last time we go Tiong Bahru. That one with the fairy lights 😍,not_scam,xmm,synthetic,Food and Makan
Hmm… soft rice with egg leh. That one got me every month.,not_scam,xmm,synthetic,Food and Makan
Wah suddenly so nice lor. Got discount or something?,not_scam,xmm,synthetic,Food and Makan
"Ya la, stomach whine like lost pet haha. I scream myself also can 😭",not_scam,xmm,synthetic,Food and Makan
BBT means bubble tea or black bean tofu? I think you mean bubble tea la. I not BBT until I confirm hor.,not_scam,xmm,synthetic,Food and Makan
Haha last time we go Xiang’Feng lor. That one with the purple door.,not_scam,xmm,synthetic,Food and Makan
"Yah me too. Siao is just guanxi leh, I think of something tasty auto.",not_scam,xmm,synthetic,Food and Makan
"Ya la, I got craving now. You not bring me then I eat alone face 😤",not_scam,xmm,synthetic,Food and Makan
"Ya la, I just realised I haven’t eat anything since last night 🥲",not_scam,xmm,synthetic,Food and Makan
BBT means bubble tea or black tea with milk lor. You not BBT until you try 😤,not_scam,xmm,synthetic,Food and Makan
Haha last time we go Bao Bao. Now I diet so only for sideshows lor.,not_scam,xmm,synthetic,Food and Makan
Crave somemore bubble tea with soft ice leh. My tummy say their name.,not_scam,xmm,synthetic,Food and Makan
"Can ah! I not lazy leh, I just need invite 😏",not_scam,xmm,synthetic,Food and Makan
Ya la… I know you not made of free snacks lah 😤,not_scam,xmm,synthetic,Food and Makan
"Can la, but must bring my own straw ah 😤",not_scam,xmm,synthetic,Food and Makan
Haha last time we go Cha Cha 25. That one with the purple seats.,not_scam,xmm,synthetic,Food and Makan
Crave somemore bubble tea leh. My tummy say my name 😂,not_scam,xmm,synthetic,Food and Makan
"Wah seriously cannot la, my assignment due tomorrow and I still not start 😭",not_scam,xmm,synthetic,School and Studies
Yah lor. My soul already half dead from this semester 😂,not_scam,xmm,synthetic,School and Studies
"Ya la, my professor talks like old school TV. I nod along just to survive.",not_scam,xmm,synthetic,School and Studies
Aiyo that one always got extra stress. Our group last time someone block all the work 😂,not_scam,xmm,synthetic,School and Studies
Of course la. Assignment due tomorrow cannot prepare overnight 😂,not_scam,xmm,synthetic,School and Studies
Wah lor… my assignment killer sia. This week confirm cannot la. My brain feel like soft-booze 🥲,not_scam,xmm,synthetic,School and Studies
Yah lor. My soul already halfway to Singapore General Hospital 😂,not_scam,xmm,synthetic,School and Studies
"Ya la, professor says 5 mins but feel like 5 hours. My notes longer than my essay.",not_scam,xmm,synthetic,School and Studies
Wah already? My groupmates all free lor. I work 108 hours just to keep my name on the report.,not_scam,xmm,synthetic,School and Studies
Of course la. Assignment due tomorrow cannot wait right?,not_scam,xmm,synthetic,School and Studies
"Wah lor, almost dead already. This one need 15 hours lah, I cry a bit but still must submit.",not_scam,xmm,synthetic,School and Studies
Yah lor. My subject is killing me. Like why must die young ah 😂,not_scam,xmm,synthetic,School and Studies
"Ya la, professor just sit there mutter nonsense. I nap during half.",not_scam,xmm,synthetic,School and Studies
"Aiyo lor, our group already disband sia 😂 one member not enough to carry the load.",not_scam,xmm,synthetic,School and Studies
Of course la. Assignment due tomorrow cannot la 😂,not_scam,xmm,synthetic,School and Studies
"Wah seriously cannot. This one deadline last week, I still not submit 😭",not_scam,xmm,synthetic,School and Studies
Yah lor. I confirm cannot pass unless I pray to Guan Yin 🙏,not_scam,xmm,synthetic,School and Studies
"Ya la, professor just sit there scroll phone beside him 😂",not_scam,xmm,synthetic,School and Studies
"Wah that one kill me. My groupmates are horror. One is late 5 days, one just copy paste from internet.",not_scam,xmm,synthetic,School and Studies
Of course la. Assignment due tomorrow cannot la.,not_scam,xmm,synthetic,School and Studies
Of course la! Every week like maggot on chocolate 😂,not_scam,xmm,synthetic,Shopping and Fashion
Depends lor. If go cafe then cute top and jeans. If go mall then outfit one.,not_scam,xmm,synthetic,Shopping and Fashion
"Yah la, my haul list already 30 items long 😭 but mostly got discounts until 80% off.",not_scam,xmm,synthetic,Shopping and Fashion
Wah suddenly so eager ah 😂 I lowkey planning already one. You bring snacks I bring vibes?,not_scam,xmm,synthetic,Shopping and Fashion
"Ya la, but got many discount codes everywhere. Must be smart shopper hor.",not_scam,xmm,synthetic,Shopping and Fashion
Of course la! Every week like lottery. You not ah? Don’t pretend you busy 😤,not_scam,xmm,synthetic,Shopping and Fashion
Depends lor. If go cafe then cute top and jeans. If go shopping then compression tees and baggy pants also can.,not_scam,xmm,synthetic,Shopping and Fashion
"Yah lor, already 3 orders hor. I lazy go malls now just rely Shein.",not_scam,xmm,synthetic,Shopping and Fashion
Wah suddenly so eager ah 😂 I lowkey planning already. Got discount codes in my DMs.,not_scam,xmm,synthetic,Shopping and Fashion
"Ya la, but got many fake ones hor. Must be careful.",not_scam,xmm,synthetic,Shopping and Fashion
"Yah lor, every week there is. I pro at spotting these deals 😍",not_scam,xmm,synthetic,Shopping and Fashion
Depends lor. If go cafe then cute blouse + jeans. If go shopping then athleisure mix match.,not_scam,xmm,synthetic,Shopping and Fashion
"Yah lor, got some cute ones in my cart but not confirm buy yet. Later see how discount before COD.",not_scam,xmm,synthetic,Shopping and Fashion
Wah suddenly so keen ah 😂 I lowkey planning got discount then I cry inside.,not_scam,xmm,synthetic,Shopping and Fashion
"Ya la, but got many discount ones too. You just gotta shop till you drop 😂",not_scam,xmm,synthetic,Shopping and Fashion
Of course la! Every week like lottery. You not ah? Don’t pretend you not interested 😤,not_scam,xmm,synthetic,Shopping and Fashion
Depends lor. If go cafe then dress code is jeans and tee. If go mall then can dress up a bit.,not_scam,xmm,synthetic,Shopping and Fashion
"Yah lor, got some cute ones in cart but not confirm buy yet. Later see mood.",not_scam,xmm,synthetic,Shopping and Fashion
Wah suddenly so eager ah 😂 I lowkey planning to buy shiok clothes for my GF.,not_scam,xmm,synthetic,Shopping and Fashion
"Ya la, but got discount until Friday only. After that back to normal prices sob.",not_scam,xmm,synthetic,Shopping and Fashion
"Ya la, the one with Kim Soo Hyun right? That one super shiok. Got many rom-com moments 😭",not_scam,xmm,synthetic,K-Drama / K-Pop / Entertainment
Wah shiok lor. I scream so loud my ears hurt but still worth it 😭,not_scam,xmm,synthetic,K-Drama / K-Pop / Entertainment
"Ya la, I laugh so much my side hurt 😭",not_scam,xmm,synthetic,K-Drama / K-Pop / Entertainment
"Ya lor, 'Your Name' come out. Must watch before it sell out 😭",not_scam,xmm,synthetic,K-Drama / K-Pop / Entertainment
"Haha my bias is TWICE. Their vibe one la, very Singaporean chill.",not_scam,xmm,synthetic,K-Drama / K-Pop / Entertainment
"Ya la, 'My Demon' that one. So cute and sweet, but sometimes feel like my heart broken 😭",not_scam,xmm,synthetic,K-Drama / K-Pop / Entertainment
Wah shiok lor. I scream so loud my friend scared 😭,not_scam,xmm,synthetic,K-Drama / K-Pop / Entertainment
"Ya la, I laugh so much my sides hurt 😂",not_scam,xmm,synthetic,K-Drama / K-Pop / Entertainment
"Ya lor, ‘My Demon’ just drop. Tbh I not impressed but can watch with BFF.",not_scam,xmm,synthetic,K-Drama / K-Pop / Entertainment
Haha my bias is TWICE. They so cute and their music so catchy.,not_scam,xmm,synthetic,K-Drama / K-Pop / Entertainment
"Ya la, 'My Demon' that one. Confusing but cute sia.",not_scam,xmm,synthetic,K-Drama / K-Pop / Entertainment
Wah lor… shiok but sotong expensive sia. I just watch from SG got it 😂,not_scam,xmm,synthetic,K-Drama / K-Pop / Entertainment
"Ya la, I watch half hour still laugh. TikTok is magic one hor.",not_scam,xmm,synthetic,K-Drama / K-Pop / Entertainment
"Ya lor, 'My Demon' drop last week. So cute and weirdly emo. I watch halfway cry sia.",not_scam,xmm,synthetic,K-Drama / K-Pop / Entertainment
Haha must keep it lowkey okay. I just enjoy the aesthetic that’s all.,not_scam,xmm,synthetic,K-Drama / K-Pop / Entertainment
"Ya la, ‘My Demon’ that one. Confusing but cute okay.",not_scam,xmm,synthetic,K-Drama / K-Pop / Entertainment
Wah... so shiok leh. I stand in queue for 3 hours just to get inside 😭,not_scam,xmm,synthetic,K-Drama / K-Pop / Entertainment
Confirm. I watch 3 hrs straight sometimes 😂,not_scam,xmm,synthetic,K-Drama / K-Pop / Entertainment
"Ya lor, ‘My Demon’ just drop. Omg the main girl so cute I cannot 😭",not_scam,xmm,synthetic,K-Drama / K-Pop / Entertainment
Hmm… personally I like BTS and 'Produce 101'. But BTS more consistent la.,not_scam,xmm,synthetic,K-Drama / K-Pop / Entertainment
"Ya la, this weekend I got nothing. You want cafe hopping or what?",not_scam,xmm,synthetic,Friendship and Social Life
Wah suddenly so nice sia? Got mood today?,not_scam,xmm,synthetic,Friendship and Social Life
Omg is it? I forgor already 😭,not_scam,xmm,synthetic,Friendship and Social Life
Haha last time we go was last year only. Should we refresh our memory?,not_scam,xmm,synthetic,Friendship and Social Life
"As soon as you reply I already planning hor. Must be a week leh, I got exam.",not_scam,xmm,synthetic,Friendship and Social Life
"Ya la, Sunday to Thursday only liao. Friday and Sat I must study.",not_scam,xmm,synthetic,Friendship and Social Life
Wah suddenly so nice sia 😳,not_scam,xmm,synthetic,Friendship and Social Life
Oya is leh. Her birthday month is this month. So we must book cafe early hor.,not_scam,xmm,synthetic,Friendship and Social Life
Haha last time we go was last year only. Don’t think I still young lah 😤,not_scam,xmm,synthetic,Friendship and Social Life
"Wah suddenly so busy sia 😳  
This week or next week? I see free slots hor.",not_scam,xmm,synthetic,Friendship and Social Life
"Ya la, this weekend I got nothing. You want hang out or just want me confirm only?",not_scam,xmm,synthetic,Friendship and Social Life
Wah suddenly so eager ah 😳,not_scam,xmm,synthetic,Friendship and Social Life
"Oya is leh. She wants us three go together. I say can, but must bring snacks 😌",not_scam,xmm,synthetic,Friendship and Social Life
Wah that one got sia. Must book advance hor. I already reserve spot at Rangoon Cafe in my Google Sheet 😎,not_scam,xmm,synthetic,Friendship and Social Life
"As soon as your free leh. Don’t just text me ah, must reply with date first 😤",not_scam,xmm,synthetic,Friendship and Social Life
"Ya la, this weekend I free. But if you want, we can just hang at my place also, no need run far.",not_scam,xmm,synthetic,Friendship and Social Life
Wah suddenly so free ah 😳,not_scam,xmm,synthetic,Friendship and Social Life
Omg is it? I forgot last time ah 😅,not_scam,xmm,synthetic,Friendship and Social Life
Haha last time we go was last year only. Should we revive our girls trip?,not_scam,xmm,synthetic,Friendship and Social Life
Next Saturday free? Can. I SMS you 3 days before confirm.,not_scam,xmm,synthetic,Friendship and Social Life
Wah shiok lor. Is he cute or just got free snacks? 😤,not_scam,xmm,synthetic,Relationship and Dating Talk
CMB? That one or two guys just swipe right randomly lor? Not serious okay.,not_scam,xmm,synthetic,Relationship and Dating Talk
Haha I know la… but I give him benzo because he sweet otherwise 😂,not_scam,xmm,synthetic,Relationship and Dating Talk
"Cute yes la, but cute with attitude = stressful lor.",not_scam,xmm,synthetic,Relationship and Dating Talk
