"text","label","persona","source_type","scenario"
"Hi there, I just matched with you one. Normally I don't message first but your profile got something different lah. You free to chat?","love_scam","xmm","synthetic","Dating App Ice Breaker"
"Hiya! I'm Jasmine, 22, doing freelance design work. I saw your profile and honestly I feel like we got connection already lor. Weird right?","love_scam","xmm","synthetic","Dating App Ice Breaker"
"Hey hey! I scroll through so many profiles but yours made me stop leh. Something about your eyes. I'm Leona by the way, nice to meet you.","love_scam","xmm","synthetic","Dating App Ice Breaker"
"Hi! I'm Chen Yee, 23. I not usually this forward but I just feel like must message you before someone else snatch you away lah.","love_scam","xmm","synthetic","Dating App Ice Breaker"
"Wah finally someone who look genuine on this app lor. Hi I'm Sarah, I stay near Tampines. You seem like the type I can trust one.","love_scam","xmm","synthetic","Dating App Ice Breaker"
"Hey there! I'm Rachel, 21, studying part time and doing crypto on the side. Your profile pic very nice leh. Wanna get to know each other?","love_scam","xmm","synthetic","Dating App Ice Breaker"
"Hihi! I just moved to Singapore from Malaysia lor. Don't really know many people here yet. You seem friendly, can we chat a bit?","love_scam","xmm","synthetic","Dating App Ice Breaker"
"Hi! I'm Mei Ling. I swipe right on you without thinking twice leh. Something about your smile very warm one. You single right?","love_scam","xmm","synthetic","Dating App Ice Breaker"
"Hello hello! I not those type who play games one okay. I genuine one. Saw your profile, you look like someone I can vibe with lor.","love_scam","xmm","synthetic","Dating App Ice Breaker"
"Hiya! I'm Amanda, 24. I do graphic design freelance and invest a bit on the side. You caught my eye lah seriously. Can chat or not?","love_scam","xmm","synthetic","Dating App Ice Breaker"
"Ya lor, my day was okay lah. Just finished some freelance work then go eat at the hawker near my place. You eat already or not?","love_scam","xmm","synthetic","Building Trust and Rapport"
"Wah you also like that meh? I also cannot sleep at night one, always scroll phone until 2am. We really quite similar leh.","love_scam","xmm","synthetic","Building Trust and Rapport"
"Actually hor, I not close with my family one. My parents divorce when I young. So I really treasure people who are genuine to me.","love_scam","xmm","synthetic","Building Trust and Rapport"
"I stay alone near Bishan lor. Sometimes quite lonely lah honestly. That's why I appreciate you chatting with me every day like this.","love_scam","xmm","synthetic","Building Trust and Rapport"
"You know ah, I never tell anyone this but last time I kena cheated by my ex. He take my money and run. So now I very careful with trust.","love_scam","xmm","synthetic","Building Trust and Rapport"
"Just finished cooking lor. I always cook myself one, cheaper than eating out mah. Save money then can invest for future.","love_scam","xmm","synthetic","Building Trust and Rapport"
