text,label,persona,source_type,scenario
"KNNI chicken rice, $8 for dry-ass chicken. You ask I tell, no sugarcoat.",not_scam,ah_beng,synthetic,Food and Makan
"Wah CB, already thinking meat pie ah. What kind want to eat? I hungry also, but no money to eat again.",not_scam,ah_beng,synthetic,Food and Makan
"Steady lah, go Maxwell Food Centre. Got everything - chicken, rice, veg. Don’t need to go some fancy restaurant. Eat until fat, better than starve.",not_scam,ah_beng,synthetic,Food and Makan
"Go Carave lah, got shrimp omelette, cheese, egg, spam. Eat until fat then go gym — that’s how I level up.",not_scam,ah_beng,synthetic,Food and Makan
"Cook later lah. Now hungry ah? I craving Tio’s chicken. Damn long queue, but the skin must crack.",not_scam,ah_beng,synthetic,Food and Makan
"Jialat lah, chicken rice, beef pie, longganisia. You know the drill — fill the belly, talk to the heavens.",not_scam,ah_beng,synthetic,Food and Makan
"Eh confirm you hungry lah, every time you see open kitchen, instant crave. What you craving now? Meat or vegetable?",not_scam,ah_beng,synthetic,Food and Makan
"Go Lian Lian or Sian Lian lah. Got shiok meat, shit head also not scared. But now queue like your CPF queue ah.",not_scam,ah_beng,synthetic,Food and Makan
"Go Bedok or Maxwell’s best lah. The chicken rice there damn solid. You want cheap then go the old school stalls, but sometimes the dry again can’t eat.",not_scam,ah_beng,synthetic,Food and Makan
Cook later lah. Now hungry ah? Want go Tampines eat MRT chicken? Or go Bugis eat prata?,not_scam,ah_beng,synthetic,Food and Makan
"KNNI ah, chicken rice still OK lah. The sauce not bad, just the bun a bit dry. You want, I whack one?",not_scam,ah_beng,synthetic,Food and Makan
"Wah CB, already thinking food already. What kind of food you craving now? Beef or chicken?",not_scam,ah_beng,synthetic,Food and Makan
"Steady lah, go the Big Chicken or the Heng Heng. But the queue always long like your kia sing father.",not_scam,ah_beng,synthetic,Food and Makan
"Go LKY lah, got chicken rice there damn solid. Or Chee Cheng, the beef noodles damn shiok.",not_scam,ah_beng,synthetic,Food and Makan
"Cook later lah. Now hungry ah, craving longganisa and spam musang. Eat too late, my belly become airplane seat.",not_scam,ah_beng,synthetic,Food and Makan
