"text","label","persona","source_type","scenario"
"Hello, this is Sergeant Lim from Cantonment Police Division. We have an outstanding warrant under your name. You must settle the fine of $4800 within 24 hours or face immediate arrest.","authority_scam","nsf","synthetic","SPF Officer - Warrant of Arrest"
"Affirmative. I'm Inspector Razak from Tanglin Police Station. Your NRIC was used in a fraud case. You either cooperate now or we come to your doorstep with the warrant.","authority_scam","nsf","synthetic","SPF Officer - Warrant of Arrest"
"This is Staff Sergeant Goh, SPF Criminal Investigation Department. Case number CID-2026-8741 has been opened under your name. Outstanding fine of $6200 must be cleared today.","authority_scam","nsf","synthetic","SPF Officer - Warrant of Arrest"
"Roger. Officer Tan from Bedok Police Division here. We traced your IC number to a series of fraudulent transactions. Either you come down to the station now or I dispatch officers to your block.","authority_scam","nsf","synthetic","SPF Officer - Warrant of Arrest"
"Confirm, this is ASP Wong from the Anti-Scam Centre. Ironic right, but your name appeared in our database. Arrest warrant is pending. You have 48 hours to resolve this or we proceed.","authority_scam","nsf","synthetic","SPF Officer - Warrant of Arrest"
"Don't play play ah. I'm Corporal Ahmad from Jurong Police Division. You got one warrant issued under your IC. The magistrate already signed it. You want settle or you want handcuff?","authority_scam","nsf","synthetic","SPF Officer - Warrant of Arrest"
"This is a formal notification from Singapore Police Force. Your identity was flagged in Operation Nighthawk. Report to Cantonment Complex within 12 hours or we execute the warrant at your registered address.","authority_scam","nsf","synthetic","SPF Officer - Warrant of Arrest"
"Bro listen carefully. I'm Inspector Chua, Woodlands Division. Got a complaint lodged against you involving cheating and dishonesty under Section 420. Don't say I never warn you ah.","authority_scam","nsf","synthetic","SPF Officer - Warrant of Arrest"
"Copy that. This is Detective Sergeant Yeo from the Financial Crimes Unit at Police Cantonment Complex. Warrant number SPF-W-2026-3392. You settle the outstanding amount or we pick you up tonight.","authority_scam","nsf","synthetic","SPF Officer - Warrant of Arrest"
"I'm calling from Clementi Police Division. Your name kena flagged during a routine check. There is a bench warrant issued. You need to pay $3500 immediately to avoid arrest at your workplace.","authority_scam","nsf","synthetic","SPF Officer - Warrant of Arrest"
"This is Senior Investigator Chen from MAS Enforcement Division. Your DBS account ending 4821 has been linked to a money laundering syndicate. Confirm your identity now or we freeze everything.","authority_scam","nsf","synthetic","MAS Financial Investigation"
"Affirmative. MAS Case Reference MAS-FI-2026-0091. Multiple suspicious outbound transfers detected from your OCBC account. We need your cooperation within 2 hours.","authority_scam","nsf","synthetic","MAS Financial Investigation"
"Don't hang up. I represent the Monetary Authority of Singapore. Your bank account was used to receive proceeds from an illegal gambling ring. You have one chance to explain yourself.","authority_scam","nsf","synthetic","MAS Financial Investigation"
"Roger. This is MAS Financial Surveillance Unit. We intercepted wire transfers totalling $87,000 routed through your account. Either you verify your identity now or we refer the case to CAD.","authority_scam","nsf","synthetic","MAS Financial Investigation"
"Confirm identity first. I'm Officer Krishnan from MAS Anti-Money Laundering Division. Your savings account flagged for structuring transactions below reporting threshold. Very suspicious pattern.","authority_scam","nsf","synthetic","MAS Financial Investigation"
