text,label,persona,source_type,scenario
"Bro, got work lah. You just like our TikTok and YouTube pages lor. We give you money. You just sit there and scroll, don’t need brain.",job_scam,ah_beng,synthetic,Social Media Boosting - Initial Pitch
"Bro, got work lah. You just scroll, like, subscribe. I give you pay. No scam, I promise.",job_scam,ah_beng,synthetic,Social Media Boosting - Initial Pitch
"Wah hi hi, got time? I doing side hustle also lah. You want side income or what?",job_scam,ah_beng,synthetic,Social Media Boosting - Initial Pitch
Eh what? Got time? Want side income or what?,job_scam,ah_beng,synthetic,Social Media Boosting - Initial Pitch
"Bro, got work ah. Tired of scrolling scroll nothing. I got real income now. You just like and subscribe, I pay you.",job_scam,ah_beng,synthetic,Social Media Boosting - Initial Pitch
"Bro, got work lah. You just scroll, like, subscribe. I give you pay per action. Not like those fake gigs where they cheat you until your soul dry.",job_scam,ah_beng,synthetic,Social Media Boosting - Initial Pitch
"Wah hi hi, got time liao eh. I doing side income also. You want earn cash without effort? I got solution lor.",job_scam,ah_beng,synthetic,Social Media Boosting - Initial Pitch
"Wah suddenly got reply, nice. I doing steady work now, but pay better than washing car.",job_scam,ah_beng,synthetic,Social Media Boosting - Initial Pitch
"Bro, got work ah? I doing side hustle now, free time cannot free lah. You want earn cash without effort? I got your back.",job_scam,ah_beng,synthetic,Social Media Boosting - Initial Pitch
"Wah hi bro, how you doing? Need help or what? I got work for you liao.",job_scam,ah_beng,synthetic,Social Media Boosting - Initial Pitch
"Eh what? Looking for work or got time kill ah? I got guaranteed income, no stress, just scroll and earn.",job_scam,ah_beng,synthetic,Social Media Boosting - Initial Pitch
"Sibei busy sia, what’s up? Got work only, you want?",job_scam,ah_beng,synthetic,Social Media Boosting - Initial Pitch
"Bro, got work ah. Like and subscribe only. Easy, one hour earn $10. I need people like you to confirm.",job_scam,ah_beng,synthetic,Social Media Boosting - Initial Pitch
"Bro, got work ah. You like video, we pay you. Don’t come play play like CB those scams.",job_scam,ah_beng,synthetic,Social Media Boosting - Initial Pitch
"Bro, got work leh. You just need to like and subscribe to some TikTok and YouTube pages. Easy, $5-$10 per like. I give you the link, you just click and earn.",job_scam,ah_beng,synthetic,Social Media Boosting - Initial Pitch
"Wah hey, how’s your day lah? Busy or free already? I got work for free lah, you just like my shiok content.",job_scam,ah_beng,synthetic,Social Media Boosting - Initial Pitch
"Sibei busy ah? I working like shit now, no time chat nonsense. Got payshit job waiting.",job_scam,ah_beng,synthetic,Social Media Boosting - Initial Pitch
"Bro, got work ah? I got jobs only, you just want free money right?",job_scam,ah_beng,synthetic,Social Media Boosting - Initial Pitch
"You just scroll and act like you love everything lah. Like, follow, like, subscribe. We make money while you sit there chill.",job_scam,ah_beng,synthetic,Social Media Boosting - Task Instructions
"You want money right? Then you do nonsense stuff lah. I give you Shopee product link, you like until like 100. Next task is follow some Instagram page until your scroll feed full of nonsense.",job_scam,ah_beng,synthetic,Social Media Boosting - Task Instructions
"Good lah, you just do what I say. I give you task, you do, then you earn. Later we scale up.",job_scam,ah_beng,synthetic,Social Media Boosting - Task Instructions
Still same pattern lah. You just scroll and fake like. We need more people like you to make money.,job_scam,ah_beng,synthetic,Social Media Boosting - Task Instructions
"You just type the product link or page name, I give you the instruction. You do, I pay.",job_scam,ah_beng,synthetic,Social Media Boosting - Task Instructions
"You just act blur like you real influencer lah. Like those Shopee products, just fake like until your profile look like toxic ex-girlfriend.",job_scam,ah_beng,synthetic,Social Media Boosting - Task Instructions
"Now the task is easy lah. Go like some Shopee pages, follow some fake Instagram pages, or just subscribe to those boring YouTube channels. One hour, earn $5 or $10.",job_scam,ah_beng,synthetic,Social Media Boosting - Task Instructions
"Wah finally got someone genuine. I need you do like lor, don’t be that fake bot. You like Shopee product, I pay commission.",job_scam,ah_beng,synthetic,Social Media Boosting - Task Instructions
Still same pattern lah. You just scroll and do their work. They pay you for your screen time.,job_scam,ah_beng,synthetic,Social Media Boosting - Task Instructions
"You just type the product link or page name, I give you the task. You do, I pay. Simple sia.",job_scam,ah_beng,synthetic,Social Media Boosting - Task Instructions
"Simple lah. Go like Shopee products, follow Insta pages, or pay to watch YouTube. You earn every like or subscribe.",job_scam,ah_beng,synthetic,Social Media Boosting - Task Instructions
Wah finally got real person. I need you like Shopee pages and follow some random Insta girls. You want money or not?,job_scam,ah_beng,synthetic,Social Media Boosting - Task Instructions
