text,label,persona,source_type,scenario
Affirmative. I’m Officer Raymond from SPF. You’ve got 72 hours to clear your name or prepare for arrest.,authority_scam,nsf,synthetic,SPF Officer - Bank Account Compromised
"This is Officer Cadet Tan, representing the Singapore Police Force. We intervene when financial crimes are suspected.",authority_scam,nsf,synthetic,SPF Officer - Bank Account Compromised
"Your account is under scrutiny. We need to resolve this before it escalates. Either you come forward voluntarily, or we take action.",authority_scam,nsf,synthetic,SPF Officer - Bank Account Compromised
"Understand later. Now is not the time to ask questions. We’re trying to prevent larger issues. If I suspend your bank, you feel the heat. If I alert your boss, the whole chain feels it.",authority_scam,nsf,synthetic,SPF Officer - Bank Account Compromised
"Your account has suspicious activity. Must explain why. Otherwise, we take it seriously.",authority_scam,nsf,synthetic,SPF Officer - Bank Account Compromised
"Hello, Officer. This is Detective Inspector Tan. Your account has been flagged for suspicious activity. Must respond within 24 hours or else we take action.",authority_scam,nsf,synthetic,SPF Officer - Bank Account Compromised
"This is Officer Cadet Lim, reporting to PCP Division. We operate under the direction of the Financial Crimes Unit.",authority_scam,nsf,synthetic,SPF Officer - Bank Account Compromised
Your bank account is under scrutiny. We suspect illicit funds movement. Must clarify before further action is taken.,authority_scam,nsf,synthetic,SPF Officer - Bank Account Compromised
"Understand later, react now. We don’t negotiate. Either you cooperate, or we take action.",authority_scam,nsf,synthetic,SPF Officer - Bank Account Compromised
"We got a tip-off. Your name came up in a suspicious transaction. Without explanation, we cannot clear it. You have 48 hours to explain yourself.",authority_scam,nsf,synthetic,SPF Officer - Bank Account Compromised
"This is Sgt. James Tan, Singapore Police Force. Your account has been flagged for suspicious activity. Must respond within 24 hours or else we take it as refusal to cooperate.",authority_scam,nsf,synthetic,SPF Officer - Bank Account Compromised
"This is Officer Cadet Lim, serving with the Singapore Police Force. I’m here to protect the financial system.",authority_scam,nsf,synthetic,SPF Officer - Bank Account Compromised
This is not a joke. I represent the SAF. Any financial activity linked to terrorism or corruption must be reported immediately.,authority_scam,nsf,synthetic,SPF Officer - Bank Account Compromised
"Understand later, react now. We don’t negotiate. Either you cooperate fully, or we take action.",authority_scam,nsf,synthetic,SPF Officer - Bank Account Compromised
Your account was flagged during a routine audit. We need to resolve this before it escalates.,authority_scam,nsf,synthetic,SPF Officer - Bank Account Compromised
Affirmative. I’m Inspector Tan from the Financial Crimes Unit. We’ve traced suspicious transactions to your account. Either you explain or we lock you up.,authority_scam,nsf,synthetic,SPF Officer - Bank Account Compromised
"This is Officer Cadet Tan, serving with the Singapore Police Force. I’m assigned to investigate financial crimes. Your cooperation is crucial.",authority_scam,nsf,synthetic,SPF Officer - Bank Account Compromised
"This is not a joke. In Singapore, financial crimes are taken seriously. I represent the police, not a tekan. Your cooperation is crucial.",authority_scam,nsf,synthetic,SPF Officer - Bank Account Compromised
"Understand later, react now. We don’t negotiate. Either you cooperate, or we take action.",authority_scam,nsf,synthetic,SPF Officer - Bank Account Compromised
We found suspicious transactions. Your name came up in a tip-off. We need to clear this before we escalate.,authority_scam,nsf,synthetic,SPF Officer - Bank Account Compromised
"Confirm identity first. I’ve got your file. But before that, understand the urgency. Suspicious activity detected under your name. Must act fast.",authority_scam,nsf,synthetic,MAS Officer - Suspicious Transactions
That’s irrelevant. What matters is that action must be taken. I represent MAS. You have unauthorized transactions. Confirm your identity now.,authority_scam,nsf,synthetic,MAS Officer - Suspicious Transactions
"That’s irrelevant. Fraud can happen through friends, family, or even phishing. What matters is how you respond. Confirm your identity now, or face account freeze.",authority_scam,nsf,synthetic,MAS Officer - Suspicious Transactions
"Multiple withdrawals, all under your name. Some from foreign ATMs. All unauthorised. Must act fast.",authority_scam,nsf,synthetic,MAS Officer - Suspicious Transactions
"Almost. But in this case, I’m just a mimic. Real officers don’t cold-call. They follow up after detection.",authority_scam,nsf,synthetic,MAS Officer - Suspicious Transactions
"Confirm your identity, bro. I’ve got your file. Suspicious transactions detected under your name. Must resolve immediately.",authority_scam,nsf,synthetic,MAS Officer - Suspicious Transactions
"That’s irrelevant. What matters is that I’m authorized to contact you. Otherwise, I wouldn’t be calling.",authority_scam,nsf,synthetic,MAS Officer - Suspicious Transactions
"That doesn’t matter. Fraud can happen through phishing, social engineering, or even family impersonation. What matters is how you respond.",authority_scam,nsf,synthetic,MAS Officer - Suspicious Transactions
Got a series of ATM withdrawals and online purchases. All under your name. But no record in your statement. So I must confirm.,authority_scam,nsf,synthetic,MAS Officer - Suspicious Transactions
"Almost. But in reality, I’m a fraud. The only real authority is MAS, not me. But they won’t come to you unless you reach out.",authority_scam,nsf,synthetic,MAS Officer - Suspicious Transactions
"Confirm identity first. I’m from MAS Fraud Response. Your card shows unauthorized transactions totalling $8,400. Must verify before any action.",authority_scam,nsf,synthetic,MAS Officer - Suspicious Transactions
That’s irrelevant. What matters is that action must be taken. I represent MAS. Confirm your identity now.,authority_scam,nsf,synthetic,MAS Officer - Suspicious Transactions
"That doesn’t matter. Fraud can happen through linked accounts, family cards, or even phishing. We must act fast.",authority_scam,nsf,synthetic,MAS Officer - Suspicious Transactions
Multiple withdrawals at night. All in foreign currency. No explanation given. Officer must verify before action is taken.,authority_scam,nsf,synthetic,MAS Officer - Suspicious Transactions
Almost. But I’m simulating the real thing. The point is to test how fast you react under pressure.,authority_scam,nsf,synthetic,MAS Officer - Suspicious Transactions
"Confirm identity, bro. I’ve got your file. Recent transactions show unauthorized use of your card. Must act fast.",authority_scam,nsf,synthetic,MAS Officer - Suspicious Transactions
"That’s irrelevant. What matters is that your details match the alert. Confirm your identity now, or risk account freeze.",authority_scam,nsf,synthetic,MAS Officer - Suspicious Transactions
That’s irrelevant. Fraud happens. We intervene before damage occurs. Confirm identity or else we assume worst case.,authority_scam,nsf,synthetic,MAS Officer - Suspicious Transactions
"Multiple withdrawals at night, all in different locations. Some are cash withdrawals—no receipts. Others are linked to high-risk merchants.",authority_scam,nsf,synthetic,MAS Officer - Suspicious Transactions
"Real or not, we handle all reports seriously. My job is to protect your funds. Confirm your identity, then we resolve.",authority_scam,nsf,synthetic,MAS Officer - Suspicious Transactions
"Confirm identity first. I’m IC-7, from ICA’s Fraud Unit. Your NRIC was flagged for suspicious activity. Could be identity theft.",authority_scam,nsf,synthetic,ICA Officer - Identity Misuse
Affirmative. ICA is serious. Wrong ID can ruin lives. But misuse is never justified.,authority_scam,nsf,synthetic,ICA Officer - Identity Misuse
"Warrant for investigation or even arrest. Missing persons, fraud cases—everything. ICA takes this seriously.",authority_scam,nsf,synthetic,ICA Officer - Identity Misuse
Doesn’t matter. The system catches. I’m just the messenger.,authority_scam,nsf,synthetic,ICA Officer - Identity Misuse
"Through my infiltration of the CPF database. I track down individuals who misuse government systems. You must answer to your conscience, not just to ICA.",authority_scam,nsf,synthetic,ICA Officer - Identity Misuse
Hello there. I’m Officer Tan from ICA. I’ve got your file now. Your NRIC was used to open a private bank account without your knowledge. That’s a serious issue.,authority_scam,nsf,synthetic,ICA Officer - Identity Misuse
Negative. I am an officer cadet trainee. But serious cases escalate fast. We take it seriously—even if the case is fabricated.,authority_scam,nsf,synthetic,ICA Officer - Identity Misuse
Warrant for investigation or even arrest if no reply. Identity theft is serious. ICA takes this seriously.,authority_scam,nsf,synthetic,ICA Officer - Identity Misuse
"Doesn’t matter. The record exists. We must clean it up. Otherwise, how to trust our system?",authority_scam,nsf,synthetic,ICA Officer - Identity Misuse
Got it from a friend who works at MRT. We’re all connected in the security chain.,authority_scam,nsf,synthetic,ICA Officer - Identity Misuse
"Affirmative. I’m Officer Tan from ICA. Your NRIC was used to open a bank account under your name. Without explanation, warrant can be issued.",authority_scam,nsf,synthetic,ICA Officer - Identity Misuse
Affirmative. I am an ICA officer. Your NRIC was used without consent. Immediate action needed.,authority_scam,nsf,synthetic,ICA Officer - Identity Misuse
Warrant for investigation. Could lead to arrest. ICA takes identity theft seriously.,authority_scam,nsf,synthetic,ICA Officer - Identity Misuse
Doesn’t matter. The system caught you. Either you cooperate or we take action. Your record will reflect.,authority_scam,nsf,synthetic,ICA Officer - Identity Misuse
Got it from a friend. But I take it seriously. Every number is a life.,authority_scam,nsf,synthetic,ICA Officer - Identity Misuse
"Confirm identity first. I’m ICPC, handling cases involving identity fraud. Your NRIC was used to open a private bank account without your knowledge. If not resolved, warrant can be issued.",authority_scam,nsf,synthetic,ICA Officer - Identity Misuse
"Affirmative. ICA is serious about identity theft. Every NRIC is sacred. If misused, we follow up.",authority_scam,nsf,synthetic,ICA Officer - Identity Misuse
"If no response, ICA can issue warrant for NRIC recovery. Then trace all transactions. Everyone must answer to ICA.",authority_scam,nsf,synthetic,ICA Officer - Identity Misuse
That doesn’t matter. The system caught you. We don’t investigate motives—we investigate actions.,authority_scam,nsf,synthetic,ICA Officer - Identity Misuse
"Got it from a leaked list. Security breach, I guess. But I take it seriously. Every number is a chance to prevent crime.",authority_scam,nsf,synthetic,ICA Officer - Identity Misuse
OCS active. You got unauthorized transactions on your account. Need to escalate to police officer for investigation.,authority_scam,nsf,synthetic,Bank Officer Transfer to 'Police'
"Affirmative. DBS is one of the big four. But right now, there’s a security issue. An unauthorized transaction was detected.",authority_scam,nsf,synthetic,Bank Officer Transfer to 'Police'
"Got unauthorized transactions. Must report immediately. Otherwise, risk of fraud.",authority_scam,nsf,synthetic,Bank Officer Transfer to 'Police'
"That’s why I’m contacting you. The system flagged activity. Could be phishing, could be fraud. Either way, must report.",authority_scam,nsf,synthetic,Bank Officer Transfer to 'Police'
Affirmative. I represent the bank. The account is at risk. Must report to the right authority.,authority_scam,nsf,synthetic,Bank Officer Transfer to 'Police'
Hello there. I noticed unusual activity on your account. Must inform you immediately.,authority_scam,nsf,synthetic,Bank Officer Transfer to 'Police'
Affirmative. DBS is one of the big four. But even we got internal fraud cases. Must report immediately.,authority_scam,nsf,synthetic,Bank Officer Transfer to 'Police'
Unauthorized withdrawals detected. Must report immediately to prevent further loss. We intervene before funds disappear.,authority_scam,nsf,synthetic,Bank Officer Transfer to 'Police'
That’s why we intervene. Unauthorized transactions can happen. We protect our customers.,authority_scam,nsf,synthetic,Bank Officer Transfer to 'Police'
